Table,Output Markdown,Output CSV,Source artifact paths,Notes
Main text Table 1,reports\publication_assets\final_tables_v001\TABLE_1_ENCODER_BASELINE_SUMMARY_FIXED_K10.md,reports\publication_assets\final_tables_v001\TABLE_1_ENCODER_BASELINE_SUMMARY_FIXED_K10.csv,reports/encoder_baselines/eval_v002/encoder_baseline_summary.csv; reports/publication_assets/methodological_hardening_v001/knn_protocol/knn_fixed_k_summary.csv,Generated from locked artifacts; no experiments rerun.
Main text Table 2,reports\publication_assets\final_tables_v001\TABLE_2_GROUPED_ROBUSTNESS_WITH_CI.md,reports\publication_assets\final_tables_v001\TABLE_2_GROUPED_ROBUSTNESS_WITH_CI.csv,reports/encoder_baselines/eval_v002/encoder_baseline_summary.csv; reports/publication_assets/methodological_hardening_v001/knn_protocol/knn_fixed_k_summary.csv,Generated from locked artifacts; no experiments rerun.
Main text Table 3,reports\publication_assets\final_tables_v001\TABLE_3_CONTROLLED_ARCHITECTURE_COMPARISON.md,reports\publication_assets\final_tables_v001\TABLE_3_CONTROLLED_ARCHITECTURE_COMPARISON.csv,reports/encoder_baselines/eval_v002/encoder_baseline_summary.csv; reports/publication_assets/methodological_hardening_v001/knn_protocol/knn_fixed_k_summary.csv,Generated from locked artifacts; no experiments rerun.
Main text Table 4,reports\publication_assets\final_tables_v001\TABLE_4_CLASS_SUPPORT_AND_IMBALANCE.md,reports\publication_assets\final_tables_v001\TABLE_4_CLASS_SUPPORT_AND_IMBALANCE.csv,reports/publication_assets/class_level_v001/TABLE_4_CLASS_SUPPORT.csv,Generated from locked artifacts; no experiments rerun.
Main text Table 5,reports\publication_assets\final_tables_v001\TABLE_5_V62A_VS_V61_PER_CLASS_GROUPED_F1.md,reports\publication_assets\final_tables_v001\TABLE_5_V62A_VS_V61_PER_CLASS_GROUPED_F1.csv,reports/publication_assets/class_level_v001/TABLE_5_V62A_VS_V61_GROUPED_PER_CLASS_F1.csv,Generated from locked artifacts; no experiments rerun.
Main text Table 6,reports\publication_assets\final_tables_v001\TABLE_6_ZERO_RECALL_BREAKDOWN.md,reports\publication_assets\final_tables_v001\TABLE_6_ZERO_RECALL_BREAKDOWN.csv,reports/publication_assets/class_level_v001/TABLE_6_ZERO_RECALL_BREAKDOWN.csv,Generated from locked artifacts; no experiments rerun.
Main text Table 7,reports\publication_assets\final_tables_v001\TABLE_7_FREQUENCY_INFORMATION_BUDGET.md,reports\publication_assets\final_tables_v001\TABLE_7_FREQUENCY_INFORMATION_BUDGET.csv,reports/publication_assets/methodological_hardening_v001/frequency_embedding_fusion/frequency_embedding_fusion_summary.csv,Generated from locked artifacts; no experiments rerun.
Main text Table 8,reports\publication_assets\final_tables_v001\TABLE_8_FIXED_K_VS_BEST_K_DIAGNOSTIC.md,reports\publication_assets\final_tables_v001\TABLE_8_FIXED_K_VS_BEST_K_DIAGNOSTIC.csv,reports/publication_assets/methodological_hardening_v001/knn_protocol/knn_best_k_diagnostic.csv,Generated from locked artifacts; no experiments rerun.
Supplementary Table S1,reports\publication_assets\final_tables_v001\SUPPLEMENTARY_TABLE_S1_BOARD_LEVEL_SUPPORT.md,reports\publication_assets\final_tables_v001\SUPPLEMENTARY_TABLE_S1_BOARD_LEVEL_SUPPORT.csv,reports/publication_assets/methodological_hardening_v001/dataset_composition_by_board.csv,Generated from locked artifacts; no experiments rerun.
Supplementary Table S2,reports\publication_assets\final_tables_v001\SUPPLEMENTARY_TABLE_S2_MATERIAL_LEVEL_SUPPORT.md,reports\publication_assets\final_tables_v001\SUPPLEMENTARY_TABLE_S2_MATERIAL_LEVEL_SUPPORT.csv,reports/publication_assets/methodological_hardening_v001/dataset_composition_by_material.csv,Generated from locked artifacts; no experiments rerun.
Supplementary Table S3,reports\publication_assets\final_tables_v001\SUPPLEMENTARY_TABLE_S3_CLASS_BY_BOARD_SUPPORT.md,reports\publication_assets\final_tables_v001\SUPPLEMENTARY_TABLE_S3_CLASS_BY_BOARD_SUPPORT.csv,reports/publication_assets/methodological_hardening_v001/class_by_board_support.csv,Generated from locked artifacts; no experiments rerun.
Supplementary Table S4,reports\publication_assets\final_tables_v001\SUPPLEMENTARY_TABLE_S4_CLASS_BY_MATERIAL_SUPPORT.md,reports\publication_assets\final_tables_v001\SUPPLEMENTARY_TABLE_S4_CLASS_BY_MATERIAL_SUPPORT.csv,reports/publication_assets/methodological_hardening_v001/class_by_material_support.csv,Generated from locked artifacts; no experiments rerun.
Supplementary Table S5,reports\publication_assets\final_tables_v001\SUPPLEMENTARY_TABLE_S5_PAIRED_BOARD_AND_MATERIAL_DELTAS_V61_V62A.md,reports\publication_assets\final_tables_v001\SUPPLEMENTARY_TABLE_S5_PAIRED_BOARD_AND_MATERIAL_DELTAS_V61_V62A.csv,reports/publication_assets/methodological_hardening_v001/paired_board_lobo_delta_v61_v62a.csv; reports/publication_assets/methodological_hardening_v001/paired_material_lomo_delta_v61_v62a.csv,Generated from locked artifacts; no experiments rerun.
Supplementary Table S6,reports\publication_assets\final_tables_v001\SUPPLEMENTARY_TABLE_S6_FREQUENCY_FUSION_PER_CLASS_CHANGES.md,reports\publication_assets\final_tables_v001\SUPPLEMENTARY_TABLE_S6_FREQUENCY_FUSION_PER_CLASS_CHANGES.csv,reports/publication_assets/methodological_hardening_v001/frequency_embedding_fusion/frequency_embedding_fusion_per_class.csv,Generated from locked artifacts; no experiments rerun.
Supplementary Table S7,reports\publication_assets\final_tables_v001\SUPPLEMENTARY_TABLE_S7_SPECTRAL_DESCRIPTOR_CONTROL.md,reports\publication_assets\final_tables_v001\SUPPLEMENTARY_TABLE_S7_SPECTRAL_DESCRIPTOR_CONTROL.csv,reports/publication_assets/methodological_hardening_v001/lefft_descriptor_ablation/eval_v001/spectral_descriptor_ablation_key_numbers.json,Generated from locked spectral descriptor ablation artifacts; no experiments rerun.
